연도,부처명,담당부서명,세부사업명,사업내용,훈련기관,훈련대상
2015,경찰청,복지정책담당관,퇴직(예정)경찰관 교육지원,  퇴직(예정)경찰관 취업지원을 위한 기반구축,퇴직경찰관지원센터,퇴직(예정) 경찰관
2015,고용노동부,인적자원개발과,1· 기간직종/2· 전략직종/3· 서비스직종/4· 인센티브/5· 훈련장려/6· 타부처 인력양성사업 통합 비용/7· 운영비/8· 연구개발비,  국가기간산업 중 인력이 부족한 훈련직종에 대한 지원·기능인력의 양성·공급,쌍용교육센터 등,"구직등록한 15세 이상 실업자, 대학 및 /고등학교 최종학년 비진학예정 학생"
2015,고용노동부,인적자원개발과,1· 중소기업 인적자원개발지원/2· 전략분야 인력양성/3· 지역·산업 맞춤형 인력양성체계/4· 위탁사업비,"  중소기업 재직근로자의 직업훈련 수혜확대와 우수 인력공급 등 전략산업의 인력/육성,지역·산업 맞춤형 인력양성체제 구축 지원",포스코㈜ 등 177개 기관,"중소기업 재직근로자, 채용예정자"
2015,고용노동부,인적자원개발과,중장년층 전직지원사업/ _중장년취업아카데미,"  베이비부머 등 중장년의 대량 퇴직과 저출산·고령화로 핵심노동인구가 지속적으로 /감소되는 상황에서 중장년의 재취업을 지원하기 위해 취업역량 특화 과정 운영을 /통해 중장년의 취업지원/ · 중장년이 급변하는 기술과 사회 환경변화에 적응, 체계적 인생 이모작을 준비할 수/ 있도록 생애재설계 멘토링, 기본역량 강화 교육, 기업맞춤형 취업훈련 등 지원",강서여성인력개발센터 등 31개소/(‘15·06 기준),40세 이상 중장년으로 실업자 또는 /훈련 수료 후 6개월 이내 전직 또는 퇴직/(예정자)
2015,고용노동부,인적자원개발과,취업사관학교운영지원,  학업중단·가출 등의 이유로 경제적·사회적·심리적 도움이 필요한 취약 청소년을 /대상으로 맞춤형 훈련 지원,돈보스코직업전문학교 등 5개소,만 15세 이상 만 24세 미만의/학교 밖 청소년
2015,고용노동부,일학습병행팀,일학습병행 운영·지원,  기업이 취업을 원하는 청년 등을 학습근로자로 채용하여 맞춤형 체계적 현장훈련을/제공,"3,300기업/(신규기업 2,000기업, /계속지원기업 1,300기업)",일학습병행제 참여기업 학습근로자
2015,고용노동부,장애인고용과,직업능력개발원운영,"  장애인 전용 직업능력개발원(5개소), 맞춤훈련센터(1개소), 발달장애인 직업능력 /개발 훈련센터(1개소)에서 장애인 및 기업의 훈련수요에 부응하는 직업능력개발훈련을 통해 장애인의 직업생활과 사업주의 장애인 고용을 지원/1· 직업능력개발원(5개소) 직업능력개발 훈련 및 서비스 제공/2· 서울맞춤훈련센터 맞춤훈련/3· 발달장애인직업능력개발훈련센터 직업훈련",한국장애인고용공단,15세 이상의 장애인 중 직업능력개발훈련을 희망하거나 필요로 하는자
2015,고용노동부,장애인고용과,직업능력개발지원,"  민간훈련기관 및 공공훈련기관(한국폴리텍대학) 위탁훈련, 개별적 훈련지원을 통해 /장애인의 직업능력개발훈련을 지원/1· 민간위탁훈련기관지원: 여성 및 중증 장애인 등이 거주지 인근의 민간훈련기관/  에서 훈련을 받을 수 있도록 지원/2· 공공훈련기관지원: 경증 장애인이 비장애인과 통합훈련을 받을 수 있도록 지원/  하여 직업훈련의 효과성과 사회적응력 향상 및 취업률 제고 도모/3· 기타직업능력개발지원(개별적 훈련지원): 다양한 직업훈련기회 제공을 위해 국가/   자격·면허취득 및 공무원 시험준비 과정 등의 훈련수강료를 지원",1· 한국폴리텍대학/2· 민간직업훈련기관/3· 기타교육훈련기관,15세 이상의 장애인으로 직업훈련을 /희망하는 구직장애인
2015,고용노동부,직업능력정책과,1· 다기능기술자과정/2· 기능사과정/3· 훈련장려금/4· 기능장과정/5· 영세사업장훈련지원/6· 전공심화과정/7· 베이비부머훈련/8· 여성특별과정/9· 일반계고교연계형과정,  차세대 고부가 산업에 필요한 융합형 기술 인력 양성·공급 및 평생직업능력개발 /체제 구축,한국폴리텍,1· 다기능기술자과정: 고졸이상 /2· 기능사과정: 만15세이상/7· 베이비부머훈련과정: 중장년층
2015,고용노동부,직업능력정책과,1·중소기업 학습조직화 지원/2·산업현장교수 지원/3·기업 내 HRD정보교류 및 협력지원/4·기업 인적자원개발인증,"  기업이 인적자원개발에 대한 자생력을 확보할 수 있도록 모범적인 기준 제시를/통하여 우수기관을 인증하고, 중소기업에 우수사례와 정보를 교류하여 기업 경쟁력 /강화","중소·중견기업, 특성화고","중소기업CEO , HRD 담당자, 특성화고 /학생 등 "
